census_track_number,population_16_and_over_with_earnings,population_margin_of_error,total_median_earnings,median_earnings_margin_of_error,total_full_time_year_round_workers,full-time-margin-of-error,total_workers_less_than_10k,less_than_10k_margin_of_error,total_workers_less_than_15k,less_than_15k_margin_of_error,total_workers_less_than_25k,less_than_25k_margin_of_error,total_workers_less_than_35k,less_than_35k_margin_of_error,total_workers_less_than_50k,less_than_50k_margin_of_error,total_workers_less_than_65k,less_than_65k_margin_of_error,total_workers_less_than_75k,less_than_75k_margin_of_error,total_workers_less_than_100k,less_than_100k_margin_of_error,total_workers_more_than_100k,more_than_100k_margin_of_error,total_mean_earnings,mean_earnings_margin_of_error
1076.06,137,51,21172,8276,110,46,9.1,14.2,4.5,6.9,34.5,19,13.6,10.4,34.5,20.8,0,16.6,0,16.6,3.6,5.7,0,16.6,N,N
1076.07,1824,189,32500,7660,1230,146,2,2.5,1.5,1.8,13.9,7.3,12.8,6,35.8,7.6,20.5,7.3,8.7,7.8,3.7,2.8,1.2,1.2,43727,4284
1077.03,1851,180,32523,4778,1328,195,1.7,1.8,5.2,3,6.8,3.6,21.5,6.1,21.8,9.9,13.3,4.2,12.1,6.1,6.6,3.4,10.8,5.1,60562,10717
1077.04,771,105,26574,2714,513,96,2.1,2.5,2.1,2,17.3,8.4,21.4,9.6,22.2,9.5,14.8,6.6,11.3,7.2,6.2,5.2,2.3,3.9,44284,6442
1077.05,1018,129,30136,5525,688,113,5.2,4.1,5.1,6.4,17.4,7.9,23.1,10.3,26.6,9.5,9.6,5,5.7,4.5,6.5,4.1,0.7,1.1,37733,3424
1077.06,1478,192,24688,7282,1024,156,3,3.7,4.6,5.5,21.8,11.2,20.3,8,30.8,8.9,5.6,4.2,1.2,1.9,9.9,6.7,2.9,3.4,40739,7263
1077.07,744,110,27243,3370,520,79,0,3.8,2.7,2.9,21.9,10.4,32.1,10.3,21.3,9.6,14,8.1,3.1,2.4,3.1,2.9,1.7,2.3,37381,4092
1078.01,1602,219,25853,5141,970,208,1.1,1.8,6.8,6.5,13.9,6.5,30,9.8,28.1,11,14.6,6.7,4.2,4.8,1.1,1.5,0,2,36429,2920
1078.04,1192,168,27163,4667,758,115,0,2.6,1.6,2.3,15.3,8,29,10,29.4,10.3,8.6,6.2,12.1,6.8,3.2,3.1,0.8,1.2,40505,3713
1078.05,1279,202,23925,3360,873,163,1.9,2.6,9.2,6.1,21.2,6.5,21.3,7.2,28.2,8,11.3,5.3,1,1.2,3.3,3.6,2.5,3,35930,4052
1078.06,1975,257,27532,5583,1422,220,2.1,1.9,6.6,5.3,19.1,6.7,22.5,8.1,24.1,7.7,18.5,6.4,4,2.2,2.3,2.7,0.8,1.2,37813,3722
1078.07,1345,196,31188,3002,897,168,2.7,4.3,1.8,2.2,14.3,7.2,32.2,13.6,25.8,9.9,14.3,6.7,4.1,5.1,3.1,2.8,1.8,2.7,39358,4095
1078.08,1067,155,25781,6005,718,120,1.9,1.8,3.8,2.8,28.1,10.9,17,8.6,28.8,8.1,10.9,5.9,2.9,3.1,4.7,4.5,1.8,2,37688,4076
1078.09,951,106,21395,3921,513,86,3.9,3.7,3.7,3.2,24,9.3,17.2,8.1,18.9,7.8,21.4,10.1,5.7,6,3.9,4.9,1.4,2.1,38948,5635
1078.1,1080,185,27381,6797,644,150,0.9,1.7,1.9,2.9,16,7.9,24.8,8.6,42.1,10.4,7.5,4.6,3,3.2,3.9,3.5,0,3.1,38234,2741
1079,751,143,16964,4631,336,70,7.1,5.8,6.3,5.7,17.3,8.3,22.3,8.5,24.7,11.6,16.1,10.5,3.6,3.9,2.7,3.6,0,5.8,35457,4618
1080.03,2145,193,21097,2462,1376,166,2.8,2,7.2,3.3,33.5,8.4,21.8,5.3,23.5,6.9,7,3.8,1.5,1.7,2.5,2.6,0,1.4,31108,2899
1080.05,1068,145,30926,4309,857,138,0,2.3,10.5,6.6,17.9,9.6,19.1,7.4,35.1,11.9,6.3,4.9,0,2.3,10.5,7.7,0.6,1,38952,4518
1080.06,1938,278,32972,3851,1266,243,1.6,1.9,3.2,3.9,16,6.2,16.5,6.9,31.8,10.5,15.4,5.9,1.3,1.6,10.6,5.1,3.7,3.8,47349,6340
1080.07,1424,174,33864,7253,1063,142,2.8,3.5,2.6,2.3,19.4,7.9,15.7,7.1,24.1,8.6,21.7,9.4,7.6,5.7,4.6,3.8,1.4,1.9,42186,4871
1080.08,2388,280,23483,3586,1632,260,3.7,3.3,0.4,0.6,27.9,7.9,34.1,9,21.3,7,9.4,5,2.2,1.7,1,1.1,0,1.2,32150,2433
1080.09,1626,208,29777,3813,1209,213,0.8,1.2,4.1,4,17.3,8.9,21.2,8.6,28.3,9.5,15.3,7.1,4.9,5.5,7.4,4.5,0.7,1.2,41334,4578
1080.1,1265,192,24238,2771,825,152,2.1,2.8,6.5,5.1,36.1,10.2,24.2,8.3,22.1,7,5.6,3.9,0,2.4,2.2,2.4,1.2,2,30773,2865
1080.11,1691,230,22302,2440,987,138,1,1.7,4.1,4.4,33.5,9.4,15.4,7.8,22.7,7.3,14.6,7.6,1.9,3.1,5.6,5.3,1.2,1.9,37344,4598
1081.01,2016,166,59519,9356,1394,167,0.4,0.6,1.9,1.9,6.9,4.1,6,2.8,10.5,4.5,8,3.9,6.5,3.8,18,5.8,41.6,8.6,135062,18641
1081.06,2681,192,60140,7521,1915,154,2.8,3.5,0.9,1.1,3.7,2,7.1,2.8,10.7,4.4,21.4,5.3,2.6,1.9,16.4,5.5,34.5,7.4,111166,15482
1081.07,1641,110,51536,10164,1116,105,1,1.4,1.7,1.9,4.4,3.2,5.9,4,17.7,6.6,10.3,5.5,5.6,3.3,15,4.7,38.5,7.3,104347,16577
1081.09,3140,200,44868,7947,1967,200,0.8,0.9,5.1,4.3,7.6,3.4,10,3.9,12.8,5,15.1,4,8.5,3.7,12.9,4.1,27.2,5.8,99549,15717
1081.1,2283,185,47243,8407,1663,170,1.2,1.3,2,2.1,5.6,3.3,12.5,8.2,18.2,4.8,19.5,5.3,7.8,3.5,9.9,3.6,23.2,6.2,88748,15224
1081.13,3132,247,23375,12892,1835,233,0,1.1,5.8,3.3,15.7,6.5,11.6,7.2,20.3,6,11.8,5.1,8.8,4.4,9.2,4.3,16.9,4.8,66614,10143
1081.14,2982,326,27352,14620,1789,231,2.5,2.8,9.3,6.9,12.9,7,9.6,6.9,12.9,6.8,15,7.5,7.1,4.8,9.1,5.5,21.6,6.9,79123,14559
1082.01,2207,294,26590,4764,1333,205,3.8,2.7,1.7,2,19.1,8.6,20,9.4,19,5.7,17.5,7.6,3.4,2.5,6.8,3.5,8.8,3.8,51244,8096
1082.03,2037,212,21223,3401,1253,199,0.6,1,2.8,2.4,30.1,10.1,30,7.9,24.2,8.5,6.5,3.3,2.3,1.9,2.2,2.1,1.4,1.6,33746,3102
1082.04,1577,261,23936,4990,920,224,1.1,1.7,10,8.2,23,7.8,19.3,7.7,23.8,9.5,8.9,6.7,4.5,3.2,6.3,5.6,3,4.1,45528,16483
1082.06,2586,170,47552,7658,1591,164,0.6,1,0.6,1,5.7,2.8,5.6,3.7,15.2,5.8,12.5,4,3.5,2.3,16.1,5.4,40.2,7,121267,17354
1082.07,994,180,8443,3075,294,65,4.8,7.1,11.2,8.9,23.8,9.7,23.1,11.2,9.2,7.1,13.3,10.5,0,6.6,10.5,9.2,4.1,5.9,37126,7096
1082.08,2370,323,17778,2795,1150,231,3.9,3.9,9.1,5.8,16.1,7.7,23.5,9.9,17.7,7,5.7,3,4.3,3.7,13.6,9.6,6,3,43585,6930
1082.13,4635,332,51845,6730,2880,270,1,1.1,1.3,2,5.7,3.4,9.2,4.6,10.2,3.8,8.8,3.6,2.2,1.8,14.5,4.5,47.1,7.5,132610,19650
1082.15,2447,215,37203,3667,1695,179,3.2,2.8,2.9,1.7,11.4,5.2,11.8,5.1,22.7,5.3,19.2,5,5.4,2.7,12.4,4.8,11,3.8,58708,5950
1082.16,1872,184,32202,4946,1067,157,0,1.9,4.8,4,11.2,5.8,14.4,6.9,28,8.4,18.8,7.7,7.9,4.8,7.2,4.4,7.7,4.9,51963,6097
1082.17,2524,244,35197,6590,1690,162,4,2.7,2.5,1.8,11.1,5.6,12,4.1,16.6,5.3,16.2,5.4,10.7,5.8,11.5,5.5,15.5,7.6,57300,5279
