census_track_number,population_16_and_over_with_earnings,population_margin_of_error,total_median_earnings,median_earnings_margin_of_error,total_full_time_year_round_workers,full-time-margin-of-error,total_workers_less_than_10k,less_than_10k_margin_of_error,total_workers_less_than_15k,less_than_15k_margin_of_error,total_workers_less_than_25k,less_than_25k_margin_of_error,total_workers_less_than_35k,less_than_35k_margin_of_error,total_workers_less_than_50k,less_than_50k_margin_of_error,total_workers_less_than_65k,less_than_65k_margin_of_error,total_workers_less_than_75k,less_than_75k_margin_of_error,total_workers_less_than_100k,less_than_100k_margin_of_error,total_workers_more_than_100k,more_than_100k_margin_of_error,total_mean_earnings,mean_earnings_margin_of_error
301.01,2024,152,23686,2923,1270,139,1.9,1.5,7.6,3.3,25.4,4.7,22.2,5.3,22,4.2,11.7,3.3,2.1,1.3,3.9,1.4,3.2,1.3,36583,2099
301.03,1195,122,23554,3338,741,92,3.1,2.8,5,3.5,27.3,6.8,21.5,5.4,17.1,5.4,11.6,4,7,3.9,2.3,2,5.1,3.2,43507,6983
301.04,3160,278,25135,3843,1938,230,3.5,2,7.3,2.5,22,5.7,20.3,4.8,20,5,11,3.8,5.3,2.9,5.4,2.5,5.2,3.1,41020,3717
302.01,985,198,23886,3216,589,130,3.7,3.7,4.9,4,17.8,6.3,15.3,10.2,26.7,8.4,19,7.1,1.5,2.3,4.9,5,6.1,4.7,45162,6511
302.02,1958,206,27438,4357,1234,170,1.2,1.2,4.2,2.1,19.4,4,18.6,5.3,23.5,6.9,13.8,4.3,9.9,5.1,3.7,2.6,5.8,3.8,46519,5087
303.01,848,116,21373,2433,594,108,1.3,1.8,16.5,7.7,25.4,7.8,16.8,8.5,24.2,5.9,7.7,4.1,0,3.3,2.5,2.4,5.4,4.2,34788,4840
303.02,3003,245,23073,2900,1856,206,5.1,4,6.4,3,18.3,5.4,22.1,7,26.4,6.3,9.3,3.9,5,2.5,5.3,3.5,2.1,2,40084,4585
304.01,1668,171,25906,3334,1006,118,0.5,0.7,6,3,18.9,4.6,27.5,5.3,22.5,4.8,11.6,3.9,4.3,2.5,4.9,2.5,3.9,2.5,40791,3410
304.02,2950,259,24656,3891,1933,237,2.3,2.5,8.1,4,18.4,5.5,21.3,6.2,28.4,7.2,10.3,4.7,4.8,3.2,5.3,2.9,1.1,1.2,38049,2685
1.01,2798,211,27452,3788,1977,153,2.4,2,1.1,1.3,23.4,5.5,20,6.4,18.2,5.4,14.8,4.4,3.4,2.2,7.6,4,9.1,4,58399,13513
1.02,1527,169,25780,1880,1057,137,0,1.9,8.9,4.6,20.6,5.1,23.6,6,17.7,5.3,12.7,4.5,6.1,3.5,4.9,3,5.5,3.3,44548,6199
2,1974,183,30000,6191,1277,152,7.7,4.3,2.3,2.4,18.3,4.6,16.1,5.2,16.5,4.9,13,4.2,5.6,2.9,9.5,3.9,11.1,3.9,52285,5952
3,1201,110,22135,2614,747,87,5.2,3.3,11.8,4.4,23.7,6.5,23.6,5.2,14.1,5.4,10.6,3.7,5.2,3.2,2.4,2.4,3.5,2.5,36254,4957
4,2491,240,21979,1683,1685,221,3.6,3.1,6.7,4.1,34.1,9.1,13.9,5.4,19.3,5.9,7.9,3.4,2.3,2.3,5.6,3.3,6.5,3.5,40044,5463
6,1157,145,18987,2219,690,127,6.5,4.4,8.6,6.2,32.6,9.4,25.2,7.4,16.2,6.2,2.5,3.1,2.2,2.6,6.2,6.6,0,2.9,30027,4519
8,2433,251,33962,2593,1723,189,1,0.8,3.5,2.2,16.5,4.6,16.7,4.2,17,5,17.2,4.8,4.4,2.4,11.2,3.5,12.5,3.9,55660,4524
9.01,2270,221,30728,3775,1446,177,3.3,2,3.3,2.7,17.5,5.6,16.6,3.8,18.9,5.1,16,5.4,5.3,2.7,12.6,4.3,6.4,4.4,53491,9061
9.02,1789,195,27184,2812,1157,155,3.2,2.1,7,3.3,14.9,5.2,22,6.5,20.5,4.5,15.7,5.2,6,3.1,6.7,2.9,4,2,42503,3445
10,1022,98,37683,5475,743,85,0.8,1.2,4.7,2.4,16.4,4,14.9,3.9,23.6,7.8,17,4.2,8.5,3.1,8.2,3.2,5.9,2.9,49973,4018
11,2682,251,31267,2216,1772,188,3.4,1.7,5.8,2.7,17,4.4,15.2,3.1,18,4.8,15.7,3.5,8.1,3.2,7,3.3,9.7,3.7,52905,6291
9506,2100,183,31518,1731,1504,159,1.6,1.2,5.7,2.6,15.9,4.8,21.2,5.9,19.5,3.9,18.6,4.4,5.4,2.7,5.9,2.3,6.3,3.2,46281,3887
9507,1980,167,24660,2835,1275,142,3.7,2.3,7.7,4.2,19.3,4.6,25.6,6.3,17.1,3.6,12,3.6,4,1.7,6.6,2.4,4,1.8,40665,3111
9508,2887,341,28967,3704,2167,261,5.9,3.8,8.5,6.3,19.2,5.2,20.8,6.9,23.9,7.6,15,6.4,1,1.4,2.4,1.9,3.3,3.1,39414,6307
9509,4320,448,26646,3112,2845,466,0,0.7,2.8,2.1,21.2,6.7,30.9,12.1,20.3,7.3,6.6,3.1,5.9,3.7,3.1,2.3,9.2,4.7,43840,4911
9510,766,109,31429,2381,563,97,0.4,0.6,4.8,3.3,18.8,7.2,20.1,6,28.8,7.6,11.2,4,6,4.3,3.4,2.7,6.6,3.6,47350,6609
701,539,74,29688,5514,376,62,6.9,4.4,4.5,3,15.2,5.7,34.6,10.6,18.6,9.4,11.7,6.1,2.4,2.1,4.5,4.3,1.6,2.4,35399,3084
702,548,87,28981,7402,363,72,2.5,3.1,1.7,3.6,17.1,7.3,15.7,7,17.6,10.9,26.7,9.7,6.3,5.5,5.2,3.6,7.2,4.6,52204,6445
703,1045,133,25201,3943,613,103,4.4,3.3,4.4,4,15.3,7.4,20.9,9,27.4,10.2,17,6.6,4.7,5,1.6,2.4,4.2,3.4,43666,6535
704,859,117,18357,1700,467,93,1.3,1.7,5.8,5.3,35.5,12.2,24.6,12,24.2,10.6,4.5,4.4,3.2,3.6,0.9,1.5,0,4.2,30201,2967
705,636,96,25444,2804,425,85,4,2.9,5.6,4.6,22.1,7.2,24.2,8.6,28.5,9.1,6.6,3.3,1.9,2.2,5.9,4.3,1.2,1.7,35471,4194
1,913,120,22479,4654,557,86,2.5,3.1,6.6,4.2,18.7,5.6,38.8,6.8,26,5.2,4.3,2.9,0.7,1.1,1.4,1.5,0.9,1.5,31926,2116
2,621,91,25355,1608,371,62,0,5.2,3,3.4,29.6,9.5,28,8.3,12.7,6,15.9,8.8,7.8,5.9,0.8,1.8,2.2,2.5,38112,4563
3,1646,197,19262,1530,992,161,3.4,2.7,5.9,3.4,36.9,7.8,26.7,5.6,21.9,6.8,4.3,2.9,0,2,0,2,0.8,1.4,28764,3029
4,1859,242,17071,1619,941,149,3.9,2.7,10,3.9,34.5,7.8,27.3,7.3,13.4,5.6,5.5,2.9,2.7,2.4,1.6,1.8,1.1,1.7,30235,3625
5,816,118,20615,1862,467,70,6.2,3.6,15.6,6.7,21,7.1,34,8.2,14.3,6.1,5.1,3.9,1.9,2.2,0.6,1.1,1.1,1.8,28443,2958
6,568,66,24075,1577,392,64,4.3,4.4,6.4,4.1,29.8,14.3,31.4,9.8,14,6.6,6.1,4,3.1,3.1,3.8,2.8,1,2,33139,4216
7,824,105,23202,3002,428,78,2.1,2.2,9.6,5.5,12.6,5.9,33.4,7.6,22.2,7.4,11.4,5.7,0,4.6,4.7,2.6,4,3.5,37990,4203
8,610,83,25086,3928,353,86,0.8,1.3,9.1,7,19.8,7.4,27.2,9.3,23.8,8.3,8.8,5.7,0,5.5,9.1,5.2,1.4,2.2,37124,4289
9,716,120,27885,4885,498,104,1,1.8,6.6,4.5,20.9,8.1,34.9,14,17.3,7,8.4,5.1,3.2,2.9,5,3.4,2.6,2.9,40366,8169
10,531,68,16680,3455,261,51,0,7.4,6.5,5.5,24.1,8.9,31,10.6,12.3,7.7,20.3,8.2,3.1,4.2,2.7,2.8,0,7.4,36184,3504
12,889,94,19614,2583,528,88,5.7,4.1,8.9,4.3,28.4,7.5,31.3,8.9,14.2,6.3,9.3,4.7,0,3.7,2.3,3.3,0,3.7,28911,3230
13,990,113,17398,2195,546,93,1.6,1.6,9.7,4.6,38.1,8.1,23.6,6.6,16.5,6.5,8.8,5.3,1.6,2,0,3.6,0,3.6,28505,2116
14,2390,226,20295,1523,1319,170,2,1.5,7.5,3.9,23.9,6,33.8,8,21.8,6.8,7,3.5,1.2,2.4,2,1.8,0.8,1.3,32380,2723
15,2129,220,21786,930,1319,180,5.6,3.6,5.3,3,32.4,6.6,17.6,5.7,22.9,5.6,9.5,3.6,4.1,2.4,1.5,1,1.1,1.2,34116,3355
16,2242,254,18053,2519,1382,171,4.8,2.6,18.9,7.6,34.5,6.3,22.1,6.4,11.9,4.6,4.9,2.3,1.3,1.6,0.5,0.8,1.1,1.4,26667,2441
17,1400,133,30797,3052,980,121,0,2,5.3,3.7,17.2,6.1,18.6,6.1,24.5,7.4,19.8,6.8,5.4,3.3,5.8,3.6,3.4,2.9,44930,3699
18,1099,105,27579,2032,717,83,3.5,3.5,4.2,2.9,11.2,4.5,28.7,5.7,28,6.6,13.2,5,1.3,1.4,5.7,3,4.2,2.8,44048,6010
19,959,77,31057,1741,675,73,1.3,1.4,3.3,3.3,16.9,5.1,25.8,6.6,25.3,6.1,11.7,4,6.7,3.4,4.6,3.1,4.4,2.7,43208,4587
20,1012,96,24695,3883,647,83,3.6,2.5,2.2,2.2,26.9,7.4,20.1,7.1,18.5,5.7,14.8,5.2,3.2,2.6,5.6,3.2,5.1,3.4,41149,4468
21,1970,214,6898,1526,526,109,8.9,4.4,13.9,8,27.2,7.8,16.7,10.3,16.9,7.8,10.5,6.8,0,3.7,3.4,3.8,2.5,2.9,33094,6496
23.01,1328,152,21660,1521,876,122,4.7,3.6,7.1,3.1,31.8,6.4,24.4,7.8,16.7,6.3,6.4,3.1,4.1,3.1,1.4,2,3.4,2.3,34829,3067
25,1920,182,25563,8926,1033,157,3.9,2.7,5.1,3.1,10.3,5.2,17.7,5.9,17.8,6.4,8.5,4.6,10.1,4.5,10.9,6.4,15.7,5.5,59613,5816
27,1524,160,27153,2110,993,132,0.6,0.9,4,3.1,17.8,5.9,29.2,7.9,23,6.1,15.1,6.4,5.5,4,1.9,2.1,2.8,2.5,41831,4923
29,1403,154,25566,3316,935,132,4.2,3.2,4.3,3,20.3,5.9,22.2,8,29,7.3,7.3,3.8,4.3,3,5.8,3.5,2.7,2.4,38916,3247
30,787,115,25264,2730,489,72,2.2,2.3,8.2,5.2,25.8,8.4,30.3,8.8,26.4,8.1,3.9,3,1,1.3,2.2,2.5,0,4,30813,2462
31,1699,131,35954,3101,1057,126,0,1.9,1.7,1.7,15,6.3,12.5,4.1,25.7,6.3,16.8,6,6.1,3.6,11.3,5.3,10.9,4.2,59391,6460
32,902,100,40129,5352,560,69,2.1,2.2,5,3.1,6.8,4,8.4,3.8,30,6.4,12.3,5.4,6.4,4.1,7.3,4.3,21.6,6.2,87836,22354
33,1353,126,40841,6397,937,110,3.1,2.9,1,1.5,7.8,4.2,14.3,5,19.2,5.6,17.1,5.4,10.8,5.1,6.2,4.3,20.6,5.9,65420,6379
34,1334,138,25260,3986,836,114,1.7,2.6,8.5,4.4,18.1,6,21.2,6.4,18.1,5.4,18.8,7.5,5.5,3.9,3.2,3.2,5,3.3,44619,7094
35,1393,148,32321,7153,952,125,4.8,3.9,7.7,5.3,15.1,5.3,12.4,4.5,22.2,6.3,15.2,5.4,4.3,3.1,8.5,4.5,9.8,4.8,49208,6321
36,1398,112,48607,4601,1079,115,0.7,1.1,1.6,1.7,4.3,3,12.8,5.6,20.8,5.8,16.9,4.9,4.1,2.6,17.5,6,21.4,6.6,69992,6668
37,1974,133,32429,2662,1426,133,2,1.8,2.8,2.3,11.9,4.4,28.9,7,20.8,5.3,14.4,4.8,3,2.3,10.7,5,5.5,3.5,52740,10342
38,1071,92,32411,3233,726,83,0.6,0.9,1.8,1.7,12.1,4.4,25.2,6.8,26.2,7.9,17.9,5.5,5.8,2.9,5.1,2.6,5.4,3.1,46160,3519
39,2738,245,33487,3703,1933,221,2.3,2.4,2.4,1.9,10.2,4.6,21.8,6,30.3,7.2,16,4.9,4.7,2.9,6.5,4,5.7,3.4,47601,5344
40,2551,230,30217,6400,1757,219,2.8,2.5,3.9,3.1,13.8,5.8,22.2,6.7,24,6.2,13,5,8.3,4.9,7.2,4,4.8,3.3,45168,3558
41.01,1301,82,71042,9691,924,79,1.2,1.5,0,2.1,2.1,1.8,5.3,3,13.5,4.2,7.9,3.5,6.9,3.4,11.4,3.9,51.7,4.9,140037,14620
42,1611,120,47526,8684,1074,106,0.7,1.2,1.4,1.5,6.3,3.9,13.7,6.3,14.3,5.4,17.2,4.7,7.4,3.8,8.2,3.8,30.7,7.4,107834,17606
43.01,1217,102,83417,16182,818,89,2.8,3.1,0.7,1,6.6,3.8,2.2,2,8.9,3.7,8.9,4,6,3.3,10.4,3.9,53.4,6.6,164276,24823
43.02,1976,155,52241,8477,1376,132,0,1.4,1.3,1.6,7.5,3.6,7.3,3.2,12,5,13.1,4.9,4.3,2.5,14.2,6.3,40.3,6.7,119508,14621
44,2000,161,31553,2665,1438,138,4.1,3.6,6.3,2.9,8.9,3.4,26.1,6.1,15.6,4.6,18.2,5,6.3,3.3,8.3,3.6,6.2,2.7,47705,4251
45,1536,145,76983,11939,1015,117,1.9,2.2,0,1.9,3,2.7,6.8,4.1,10.3,4.7,3.9,2.9,5.6,3.4,16.9,5.9,51.5,7.5,137536,16854
46,1312,152,22055,4136,713,118,2.9,2.6,10.5,7.4,16.7,8.1,19.2,9.3,29.6,9.3,11.4,5.6,1.8,2.1,5.6,4.1,2.2,2.6,39599,6156
47,830,90,30313,2832,553,61,0,3.5,1.4,1.8,16.1,5.1,27.1,8.4,27.3,7.4,15.7,5,6.1,5.8,1.4,1.8,4.7,3,42498,3828
48,2126,208,24758,2952,1383,163,2.2,2.1,5.4,3.4,25,6.7,27,6.6,22.4,5.1,10.8,4.9,3.2,2,2.4,1.8,1.7,1.9,42373,12739
49,987,102,30057,2824,746,99,1.9,1.9,5.1,2.7,17,5.1,24.4,6.2,22.4,5.4,20.9,5.4,1.7,1.4,4.7,2.9,1.9,1.9,40205,3665
50.01,1349,140,27522,3667,939,119,3.2,3,3.7,3.1,19.7,6.8,20.1,6,27.4,8,16.6,5.8,4.9,3.3,3.5,3.2,0.9,1.4,37831,3803
50.02,2045,178,31356,4235,1376,152,0.7,1.1,5.2,2.9,18.5,5.3,12.9,4.6,28.4,6,10.5,3.8,4,2.7,6.5,2.9,13.4,5,71362,16697
51,985,91,61908,9990,689,83,1,1.2,2.3,2.1,6.8,3.2,5.1,3.1,8.6,3,13.5,5.2,8.7,4.5,12.6,4.3,41.4,6.6,136482,25057
52,1812,127,40206,7156,1457,126,0.4,0.8,1.9,1.7,18.2,6.4,15.5,4.9,19.9,5,12.4,4.1,5.6,3.1,13.2,5.8,13,4.1,60316,7633
53,2681,258,34475,6202,1836,237,0.7,1.1,2.6,2.3,13,5.1,18.6,6.2,28.9,9,20.9,7.1,7.1,4.2,3.9,3,4.4,3.7,47376,5426
54.01,1541,126,37306,2769,1042,123,1.2,0.9,2,2.1,9.9,4.2,12.1,4.7,25.2,7,14.7,4.5,8,3.8,10.7,4.1,16.2,4.7,62407,7990
54.02,4144,327,32091,2797,2872,280,0,0.7,2.9,1.8,17,5.1,24,4.7,17.5,4.6,17.7,4.5,8.6,3.5,8.9,3,3.4,2.2,46656,3111
55,1706,178,33559,3862,1203,149,3.9,3.2,6.1,3.4,10.6,3.7,19,5.5,24.8,6.7,13.1,5.4,10.6,5.2,5.8,3.1,6.2,4.1,46419,4721
56,1267,102,31086,1383,908,86,3,2.3,5.2,2.3,12.8,3.3,25.7,4.8,23.3,4.2,14.6,3.7,5.8,2.5,5.4,2.8,4.2,2.3,42517,3273
57,929,117,21981,2463,525,86,4.2,3.2,2.5,2.8,22.9,7.3,33.1,9.1,21.9,7,7.6,4.2,5.5,3.7,0,3.7,2.3,2.4,45034,17514
58.01,2307,187,25292,2519,1535,136,0.8,1.4,5.4,2.9,23.4,5.6,22.7,6.5,21.3,4.6,12.6,4.5,3.5,2.3,5,2.5,5.3,3.2,42512,3983
58.05,3842,311,35256,4058,2707,261,1.1,1.2,6.2,3.1,14.9,5,13.9,4.4,23.2,5.7,16.6,5.6,11.5,4.4,8.1,3.1,4.6,2.9,50179,5742
58.06,3222,198,36642,4114,2126,166,1.6,1.2,1.9,1.4,10.6,2.8,16.1,3.9,18.9,4.5,13.6,3.5,8.6,2.9,13.7,3.4,15.1,4.1,61032,4346
58.07,7522,452,40025,3523,5215,457,0.3,0.4,3.3,2.2,8.1,3.5,11.9,3.8,26.9,4.8,11.6,3.6,15.6,4.4,12,3.5,10.4,3.3,57580,3475
58.08,1782,173,35262,4061,1247,137,0.3,0.5,5.1,3.2,12.3,5.2,15.5,5.1,21,6,12.2,4.1,3.9,2.3,14.6,4.2,15.1,4.4,61743,7720
59,1188,159,20625,2534,669,113,6,3.8,7.3,4.1,25.1,8,18.4,6.2,20.8,7.6,12.1,4.9,0.7,1.2,7.2,6.5,2.4,2.2,36734,4686
60,2114,164,24045,3041,1436,157,5.7,3.9,5.5,2.8,25.5,8.4,29.1,6.2,21,4.6,8.8,3.2,2.9,1.9,1.6,1.4,0,1.4,31393,2202
62,937,150,20390,4636,424,104,4.2,5.5,8.5,7.5,23.3,11.3,23.8,10.6,20.5,12.6,4,4.5,14.4,9.2,1.2,3.2,0,4.6,33988,5260
65.06,1308,92,38000,3211,942,71,1.5,1.4,1.4,1.2,9.3,3.7,15.8,4.7,28,5.3,18,5.2,7.3,2.7,9.7,3,8.9,3.6,54622,5046
65.07,776,85,35800,3565,537,71,3.5,2.9,2,2.1,14.9,7.1,9.9,5.6,29.6,6.4,18.4,7.5,5.4,3.4,5.2,4.5,11,5,57007,11132
66,1281,150,28934,5475,905,150,1.3,2,7,5.6,19.7,5.6,21.5,6.7,20,5.8,17,5.6,4.8,3,3.9,3,4.9,3.3,41428,4627
67.01,1406,173,24306,5346,833,155,1.3,2.1,4.2,4.3,28,7.4,20.4,7.4,21.2,6.6,12.8,7,3.1,2.4,2.9,2.5,6,4.6,40573,5851
67.03,2114,184,30269,4861,1360,132,1.5,1.9,3.8,2.3,13.1,4.2,21.3,5.5,30.9,7.2,16.8,5.5,2.4,2,8.8,4.1,1.4,1.6,42099,3292
67.05,2936,269,37302,3293,2076,211,0,1,1.2,1.4,15.5,4.9,15,5.9,24.6,5.7,17.2,6.3,6.1,3.2,4.5,3,15.9,4.6,67349,10278
67.07,5143,319,46832,3945,3613,254,0.7,0.7,1.6,1.5,4.8,2.4,9.4,2.9,20.3,4.1,17.1,4.6,11.3,3.4,15.2,3.9,19.6,4.8,69980,4772
67.08,3758,242,49632,6434,2435,228,1,1.1,0,0.8,5.4,2.6,5.6,2.7,19.2,5.7,14.2,4.6,14.6,5,16.9,4.7,23,4.4,81148,5868
68.01,1096,132,26047,3874,694,109,1,1.6,4.9,3.7,21.6,7.1,26.7,7,15,6.7,17.1,6.7,6.5,4.2,2.2,2,5,3.8,41787,4421
68.03,1448,154,26026,2105,889,108,2.6,2.3,5.2,3.6,23.1,6,16.9,5.2,26.1,6.1,16.1,5,0,2.2,7.6,4.4,2.5,2.6,41926,5579
68.04,1369,173,26058,1592,933,154,3.2,2.5,4.9,3.1,21.3,6.9,31.7,8.3,26.5,7.5,7.3,4.1,1.7,1.9,2.6,3.2,0.8,1.2,33807,2768
69.01,2452,215,36500,4761,1741,192,0.7,1.1,2.2,2,9.9,4.5,18.8,5,16.8,5.4,20.1,5.6,6.1,3.4,12.2,4.6,13.2,5.2,64775,12678
69.02,847,79,40313,6159,620,72,4.4,3,2.9,2,9.5,3.8,8.9,4,20.8,7.1,15.8,6.2,11.3,4.5,8.7,3.8,17.7,6.1,62114,6876
69.03,2496,207,30235,2459,1640,157,3.2,1.8,5.3,2.7,11.5,3.9,23.9,5.8,23.6,5.2,15.6,4.4,3.2,2,8.2,3.1,5.5,2.6,45609,3410
69.05,2320,236,23025,1788,1589,183,2.8,2.1,8.1,3.5,28.3,6.2,30.1,9.8,14.2,4.6,5.9,2.8,3,1.8,5.2,2.2,2.5,1.8,43497,11885
69.06,991,91,26417,3433,685,92,1.8,2.6,5.4,3.8,20.3,6.3,23.2,6.5,27.2,6.5,15.3,5,1.9,2,1.5,1.1,3.5,2.2,39131,3131
69.07,1661,172,30842,1778,1263,148,3.5,3,10.9,4.2,14.6,4.8,24.6,4.8,22.5,4.4,13.2,5.1,2.5,2.1,6.2,3.6,2,2,38262,3149
70,1383,144,26883,3395,985,126,3.6,2.4,6.4,3.6,18.6,6.4,18.4,5.3,24.5,6.2,12.4,5.1,5.6,3.3,6.3,3.6,4.4,3.1,42758,4508
71.01,1843,170,21866,2096,1131,116,5.6,3.9,4.4,2.9,22.8,6.2,22.6,6.5,22.7,6.3,10.4,4.6,3.4,2.5,5.4,3.3,2.7,2.2,38767,5023
71.02,1320,159,20712,1503,752,110,2.9,2.6,6.1,3.9,22.7,7,28.6,8.7,17,7.6,8.6,4.3,1.7,1.9,5.7,5.3,6.5,5.3,40411,6468
72,1929,161,24320,3495,1148,124,4.2,2.3,6,3.5,20.4,5,30.1,5.7,22.6,5.8,8.6,3.9,3.7,2.6,2.3,2,2.2,2.1,35635,3082
73.04,1985,206,21859,1371,1268,179,4.2,4,4.9,3.8,32.2,7.9,23.5,5.3,17.4,5,8.1,3.9,2.4,1.6,5.9,3.2,1.3,1.6,34668,3698
73.05,3605,280,24472,2057,2529,241,2.8,2.2,7.2,3.6,26.4,4.7,23.3,5.8,19.8,4.5,12.2,4.4,3.1,2.7,3.2,1.9,1.9,1.8,35595,2485
73.06,2680,202,23522,3574,1864,193,2.8,1.6,6.5,3.6,27.3,7.1,23.9,5,22,5.2,13.9,4.7,2.1,1.5,0.8,0.7,0.5,0.8,32797,2055
73.08,1702,155,30993,1524,1149,137,4.4,3.1,2.8,2.2,9.2,4.3,30.8,5.9,21.8,6.1,19.1,5.4,3.1,2.3,7.4,3.8,1.3,1.6,41390,3568
73.09,719,77,28170,3662,529,78,0.9,1.5,2.5,2.6,22.5,8.2,28.5,8.4,25,6.4,10,4.7,3,3,3.6,3,4,3.2,39172,3265
73.1,2078,235,23902,1897,1385,228,1.5,1.8,10.6,9.4,25.2,7.2,22.9,4.7,23.1,6.1,9.1,4.7,3.9,2.8,3.7,2.8,0,1.4,33778,3270
73.11,1286,130,23403,4406,825,122,5.6,3.5,5.2,3.1,26.5,8.5,18.1,7.6,20.8,7.6,7.3,4.5,7.6,4.2,7.6,4.7,1.2,1.8,37685,3282
73.12,2523,193,26789,2503,1815,171,2.5,1.6,5.7,2.7,22.9,5,25.3,4.7,24.4,5.2,9.6,2.7,4.8,2.3,3.7,1.6,1,1,36292,2200
74.02,1674,177,25714,2096,1108,135,1.6,2,0.9,1.4,26.2,6.8,17.4,5.5,34.4,7.1,10.7,4.4,6,3.9,1.6,1.9,1.2,1.8,37694,2961
74.07,1668,139,41971,6112,1264,138,0.6,0.8,1.6,1.7,8.9,3.6,10.8,4.5,21.5,8.2,17.9,4.8,10,4,19.4,6.3,9.4,3.6,60971,4569
74.08,728,98,25898,3143,456,71,1.1,1.7,5.3,4.1,16.2,6.6,33.6,8.3,22.8,7.4,10.5,9.2,3.3,3,6.4,5.7,0.9,1.2,38261,4003
74.09,2214,185,33787,3526,1445,158,0.9,1.4,2,1.5,9.2,3.6,17.4,4.3,26.7,5.5,23.8,5.3,6,3,8.3,3.3,5.7,2.9,53482,5986
74.1,1394,112,28807,3588,1037,92,1.7,1.3,5,2.9,17.2,4.6,26.6,5.7,20.5,5.4,15.6,4,3.8,2.2,6.7,3,2.9,1.9,41241,2923
74.11,1530,177,29213,3972,1015,162,0,1.9,1.6,2,25.6,7.9,21,6.2,26.6,5.9,7.2,3.9,6.4,3.4,6,3.1,5.6,3.3,42951,4131
74.12,1971,149,43060,6569,1426,140,1.6,1.5,2.8,2,8.8,4.1,14.3,4.5,16.5,4.2,14,4.8,5.5,2.9,14.4,4.2,22.1,5.3,65699,5769
74.13,2297,161,35985,2604,1677,136,1.5,1.4,3.1,2.7,15.8,5,12.5,3.8,22.7,4.9,15.9,4.9,5,2.4,11.6,4.1,12,3.6,54169,4025
74.14,1689,140,27039,2607,1112,121,2.5,2.2,3.8,2.2,19.5,6.4,24.7,5.5,22.2,5.3,12.2,5.1,6.1,3.4,6.4,3.3,2.5,1.8,40411,2998
74.15,1016,89,31372,2174,692,76,2.6,2.4,3.9,3.5,15.6,5.8,20.8,5.7,24.6,7.1,13.4,5.2,5.5,3.2,4.2,2.5,9.4,3.9,47610,4723
75.03,1541,117,28383,2480,1087,97,0.8,1.3,1.5,1.7,19.2,7.4,25.2,8.1,23.8,6.8,21.1,5.6,4.8,3.1,2,1.9,1.6,1.8,39414,3089
75.06,1574,164,37787,2972,1151,135,0.8,1.2,0.7,1.1,10.8,4.5,15.4,4.7,30.3,7.8,14.6,5.3,7.6,2.6,8.7,4.5,11.1,4.1,57595,6372
75.07,2053,162,33517,4306,1432,146,3.1,2.1,4.3,2.7,10.8,4.2,20.6,5.2,24.6,4.6,20.3,5.1,5.3,2.6,5.9,3.2,5.1,2.6,46711,3308
75.08,3598,246,40452,2797,2382,227,0.5,0.9,1.5,1.6,6.7,2.9,9.7,4.2,25.5,5.3,17.3,4.5,10.5,3.4,14.8,5.2,13.5,4,68190,7204
75.1,2795,243,32613,2165,2107,186,0.9,1,1.4,1.6,14.2,4.4,25.2,6.1,32,5.6,14.2,4.2,6.9,3.6,2.6,2.1,2.6,1.8,42025,2423
75.11,1831,169,34505,6085,1354,152,0.4,0.7,3.5,2.5,14.4,5.8,18.2,5.1,24.7,6,19.7,4.6,7.6,3.5,8.3,3.7,3,2.3,53080,11922
75.12,2372,180,35532,4159,1720,146,1,1.1,4.8,2.5,12,4.1,17.3,4.6,24.9,5.5,17.4,3.9,4.1,2.3,10.8,2.9,7.7,2.8,50116,3744
75.13,2347,193,39383,5012,1519,182,1.3,1.4,3.3,2,8.7,4.2,16.1,6.5,18.9,5,14.5,5.5,6.7,3.4,11.8,3.7,18.7,5.2,64769,7124
75.15,2704,173,41684,1642,1950,149,1.8,1.4,1.4,1,7.4,2.7,12.4,3.1,26.2,4.2,19.3,4.6,10.2,3.3,7.8,2.6,13.5,4.3,73926,10238
75.16,2433,162,36642,4339,1521,138,1.4,1.6,3.1,2.1,5.3,2.9,14.1,4.7,16.4,4.5,13.5,3.7,10.9,3.3,13.3,4.3,22,5.6,74795,8227
75.18,2198,149,40541,5352,1549,140,2.1,1.7,4.4,2.8,8.8,3.9,13.7,4.7,17.4,4.1,15.4,4.3,5.7,3.1,14.1,4,18.5,3.8,64317,4936
75.19,1865,161,35594,4911,1221,118,0,1.6,3,1.9,6.6,3.6,17.9,5.3,24,5.5,17.5,4.4,10.2,4.3,11.5,4.5,9.3,4.5,56619,5428
75.2,2354,153,46531,4069,1565,146,0,1.3,2.6,2,7.9,3.2,11.2,4,15.1,4.7,23.4,5.2,5.1,2.8,15.9,4.6,18.8,5.6,77565,11114
75.22,1172,93,29700,2276,784,81,4.5,3.1,4.2,2.3,15.1,5.8,19.4,5.4,18.8,5.8,19.9,6.3,7.4,4.3,6.3,3.1,4.6,2.5,46597,5044
75.23,1374,102,33636,5726,921,88,1.7,1.5,1.8,1.9,11.5,5.2,16.3,4,21.6,4.6,17.8,3.9,8.8,3.6,13.2,4.2,7.2,2.5,53624,4134
75.24,1608,142,44000,6370,1212,125,0.7,1.1,2,1.7,8.8,4.3,15,4.3,19.8,4.8,18.8,5,11.3,4.5,8.8,2.8,14.8,4.2,66498,9179
